N,E,D
-0.537427,0.119479,0.150579
-0.542896,0.115577,0.148222
-0.548127,0.111472,0.145842
-0.550653,0.109345,0.144643
-0.553118,0.107171,0.143439
-0.555522,0.104950,0.142230
-0.562369,0.098013,0.138572
-0.564528,0.095614,0.137342
-0.566626,0.093172,0.136108
-0.568661,0.090690,0.134870
-0.576176,0.080374,0.129874
-0.581150,0.072263,0.126086
-0.585550,0.063867,0.122268
-0.588163,0.058127,0.119707
-0.589372,0.055219,0.118423
-0.590517,0.052286,0.117136
-0.593563,0.043355,0.113260
-0.596713,0.031187,0.108066
-0.597337,0.028107,0.106764
-0.599178,0.015679,0.101542
-0.599474,0.012552,0.100234
-0.599704,0.009419,0.098926
-0.599868,0.006281,0.097618
-0.599967,-0.003141,0.093691
-0.599704,-0.009419,0.091074
-0.599474,-0.012552,0.089766
-0.597896,-0.025015,0.084540
-0.596713,-0.031187,0.081934
-0.596024,-0.034253,0.080633
-0.593563,-0.043355,0.076740
-0.590517,-0.052286,0.072864
-0.589372,-0.055219,0.071577
-0.588163,-0.058127,0.070293
-0.581150,-0.072263,0.063914
-0.579556,-0.075000,0.062648
-0.577898,-0.077704,0.061385
-0.576176,-0.080374,0.060126
-0.574392,-0.083009,0.058871
-0.570634,-0.088168,0.056373
-0.568661,-0.090690,0.055130
-0.566626,-0.093172,0.053892
-0.564528,-0.095614,0.052658
-0.553118,-0.107171,0.046561
-0.550653,-0.109345,0.045357
-0.548127,-0.111472,0.044158
-0.542896,-0.115577,0.041778
-0.534604,-0.121353,0.038251
-0.528782,-0.124938,0.035931
-0.525784,-0.126649,0.034781
-0.522728,-0.128305,0.033637
-0.516445,-0.131446,0.031370
-0.513219,-0.132931,0.030247
-0.503202,-0.137032,0.026920
-0.499753,-0.138279,0.025826
-0.496248,-0.139466,0.024740
-0.485410,-0.142658,0.021527
-0.477918,-0.144474,0.019425
-0.470216,-0.146037,0.017357
-0.462308,-0.147343,0.015322
-0.428684,-0.149967,0.007542
-0.419798,-0.149967,0.005691
-0.387275,-0.147899,-0.000475
-0.382454,-0.147343,-0.001314
-0.377592,-0.146722,-0.002143
-0.372689,-0.146037,-0.002962
-0.367744,-0.145287,-0.003769
-0.362759,-0.144474,-0.004566
-0.357735,-0.143598,-0.005352
-0.347569,-0.141656,-0.006891
-0.332035,-0.138279,-0.009115
-0.310816,-0.132931,-0.011921
-0.294542,-0.128305,-0.013902
-0.289052,-0.126649,-0.014538
